1,Presumed drowning,Middle East,1,Mediterranean,05/11/2015,36.8915,27.2877
2,Fell from train,Central America & Mexico,,Central America incl. Mexico,03/11/2015,15.9564,-93.6631
3,Presumed drowning,Middle East,,Mediterranean,03/11/2015,36.50438994,27.36325278
4,Drowning,MENA,6,Mediterranean,01/11/2015,37.2856,27.0866
5,Vehicle accident,South East Asia,,Southeast Asia,01/11/2015,13.3611,100.985
6,Drowning,MENA,,Mediterranean,01/11/2015,37.75181406,26.96029054
7,Drowning,MENA,,Mediterranean,01/11/2015,38.35754036,26.45215693
8,Drowning,MENA,,Mediterranean,01/11/2015,39.27619474,26.38344341
9,Drowning,,0,Mediterranean,28/10/2015,37.4578,26.9721
10,Died of unknown cause in hospital shortly after rescue,MENA,,Mediterranean,28/10/2015,39.37081581,26.17647329
11,Drowning,MENA,,Mediterranean,26/10/2015,39.28097838,26.38413005
12,Presumed drowning,South Asia,7,Mediterranean,23/10/2015,39.27300546,26.42326885
13,Presumed drowning,Middle East/ South Asia,,Mediterranean,01/11/2015,39.27406857,26.38618999
14,Drowning,,,Mediterranean,31/10/2015,39.27991538,26.38893657
15,Exposure. Died upon entry to refugee camp.,South Asia,,Europe,31/10/2015,45.2604,19.1706
16,Drowning,,,Mediterranean,30/10/2015,39.27406857,26.38824993
17,Drowning,Sub-Saharan Africa,,Sub-Saharan Africa,30/10/2015,-11.8028,43.8519
18,Drowning,Middle East/ South Asia,,Mediterranean,30/10/2015,37.4578,26.9721
19,Drowning,,32,Mediterranean,29/10/2015,35.2446,-3.93175
20,Drowning,Middle East/ South Asia,4,Mediterranean,29/10/2015,36.435,28.2175
21,Drowning,Middle East/ South Asia,2,Mediterranean,29/10/2015,37.7548,26.9778
22,,,,Mediterranean,20/10/2015,40.33471832,17.16460254
23,Drowning,,,Mediterranean,02/10/2015,36.9523,26.9808
24,Drowning,Middle East/ South Asia,,Mediterranean,29/10/2015,39.47014208,26.59265342
25,Drowning,Middle East/ South Asia,,Mediterranean,28/10/2015,39.26981603,26.39030986
